"id","code","name","user_type_id/id","group_id/id","reconcile"
"l10n_fr.1_pcg_400","400000","Fournisseurs et comptes rattachés","account.data_account_type_payable","","True"
"l10n_fr.1_fr_pcg_pay","401100","Fournisseurs - Achats de biens et prestations de services","account.data_account_type_payable","","True"
"l10n_fr.1_pcg_4017","401700","Fournisseurs - Retenues de garantie","account.data_account_type_payable","","True"
"l10n_fr.1_pcg_403","403000","Fournisseurs - Effets à payer","account.data_account_type_payable","","True"
"l10n_fr.1_pcg_4041","404100","Fournisseurs - Achats d'immobilisations","account.data_account_type_payable","","True"
"l10n_fr.1_pcg_4047","404700","Fournisseurs d'immobilisations - Retenues de garantie","account.data_account_type_payable","","True"
"l10n_fr.1_pcg_405","405000","Fournisseurs d'immobilisations - Effets à payer","account.data_account_type_payable","","True"
"l10n_fr.1_pcg_4081","408100","Factures non parvenues - Fournisseurs","account.data_account_type_payable","","True"
"l10n_fr.1_pcg_4084","408400","Factures non parvenues - Fournisseurs d'immobilisations","account.data_account_type_payable","","True"
"l10n_fr.1_pcg_4088","408800","Factures non parvenues - Fournisseurs - Intérêts courus","account.data_account_type_payable","","True"
"l10n_fr.1_pcg_4096","409600","Fournisseurs débiteurs - Créances pour emballages et matériel à rendre","account.data_account_type_current_assets","","True"
"l10n_fr.1_pcg_40971","409710","Fournisseurs débiteurs - Autres avoirs des fournisseurs d'exploitation","account.data_account_type_current_assets","","True"
"l10n_fr.1_pcg_40974","409740","Fournisseurs débiteurs - Autres avoirs des fournisseurs d'immobilisations","account.data_account_type_current_assets","","True"
"l10n_fr.1_pcg_4098","409800","Fournisseurs débiteurs - Rabais, remises, ristournes à obtenir et autres avoirs non encore reçus","account.data_account_type_current_assets","","True"
"l10n_fr.1_pcg_410","410000","Clients et comptes rattachés","account.data_account_type_receivable","","True"
"l10n_fr.1_fr_pcg_recv","411100","Clients - Ventes de biens ou de prestations de services","account.data_account_type_receivable","","True"
"l10n_fr.1_pcg_4117","411700","Clients - Retenues de garantie","account.data_account_type_receivable","","True"
"l10n_fr.1_pcg_413","413000","Clients - Effets à recevoir","account.data_account_type_receivable","","True"
"l10n_fr.1_pcg_416","416000","Clients douteux ou litigieux","account.data_account_type_receivable","","True"
"l10n_fr.1_pcg_4181","418100","Clients - Factures à établir","account.data_account_type_receivable","","True"
"l10n_fr.1_pcg_4188","418800","Clients - Intérêts courus non encore facturés","account.data_account_type_receivable","","True"
"l10n_fr.1_pcg_4191","419100","Clients créditeurs - Avances et acomptes reçus sur commandes","account.data_account_type_current_assets","","True"
"l10n_fr.1_pcg_4196","419600","Clients créditeurs - Dettes pour emballages et matériels consignés","account.data_account_type_current_assets","","True"
"l10n_fr.1_pcg_4197","419700","Clients créditeurs - Autres avoirs","account.data_account_type_current_assets","","True"
"l10n_fr.1_pcg_4198","419800","Clients créditeurs - Rabais, remises, ristournes à accorder et autres avoirs à établir","account.data_account_type_current_assets","","True"
"l10n_fr.1_pcg_421","421000","Personnel - Rémunérations dues","account.data_account_type_payable","","True"
"l10n_fr.1_pcg_422","422000","Comités d'entreprise, d'établissement","account.data_account_type_current_liabilities","","True"
"l10n_fr.1_pcg_4246","424600","Participation des salariés aux résultats - Réserve spéciale","account.data_account_type_current_liabilities","","True"
"l10n_fr.1_pcg_4248","424800","Participation des salariés aux résultats - Comptes courants","account.data_account_type_current_liabilities","","True"
"l10n_fr.1_pcg_425","425000","Personnel - Avances et acomptes","account.data_account_type_receivable","","True"
"l10n_fr.1_pcg_426","426000","Personnel - Dépôts","account.data_account_type_current_liabilities","","True"
"l10n_fr.1_pcg_427","427000","Personnel - Oppositions","account.data_account_type_current_liabilities","","True"
"l10n_fr.1_pcg_4282","428200","Personnel - Dettes provisionnées pour congés à payer","account.data_account_type_current_liabilities","","True"
"l10n_fr.1_pcg_4284","428400","Personnel - Dettes provisionnées pour participation des salariés aux résultats","account.data_account_type_current_liabilities","","True"
"l10n_fr.1_pcg_4286","428600","Personnel - Autres charges à payer","account.data_account_type_current_liabilities","","True"
"l10n_fr.1_pcg_4287","428700","Personnel - Produits à recevoir","account.data_account_type_receivable","","True"
"l10n_fr.1_pcg_431","431000","Sécurité Sociale","account.data_account_type_current_liabilities","","True"
"l10n_fr.1_pcg_437","437000","Autres organismes sociaux","account.data_account_type_current_liabilities","","True"
"l10n_fr.1_pcg_4382","438200","Charges sociales sur congés à payer","account.data_account_type_current_liabilities","","True"
"l10n_fr.1_pcg_4386","438600","Organismes sociaux - Autres charges à payer","account.data_account_type_current_liabilities","","True"
"l10n_fr.1_pcg_4387","438700","Organismes sociaux - Produits à recevoir","account.data_account_type_receivable","","True"
"l10n_fr.1_pcg_4411","441100","État - Subventions à recevoir - Subventions d'investissement","account.data_account_type_receivable","","True"
"l10n_fr.1_pcg_4417","441700","État - Subventions à recevoir - Subventions d'exploitation","account.data_account_type_receivable","","True"
"l10n_fr.1_pcg_4418","441800","État - Subventions à recevoir - Subventions d'équilibre","account.data_account_type_receivable","","True"
"l10n_fr.1_pcg_4419","441900","État - Subventions à recevoir - Avances sur subventions","account.data_account_type_receivable","","True"
"l10n_fr.1_pcg_4424","442400","État - Impôts et taxes recouvrables sur des tiers - Obligataires","account.data_account_type_current_assets","","True"
"l10n_fr.1_pcg_4425","442500","État - Impôts et taxes recouvrables sur des tiers - Associés","account.data_account_type_current_assets","","True"
"l10n_fr.1_pcg_4431","443100","Créances sur l'État résultant de la suppression de la règle du décalage d'un mois en matière de TVA","account.data_account_type_receivable","","True"
"l10n_fr.1_pcg_4438","443800","État - Intérêts courus sur créances figurant au compte 4431","account.data_account_type_current_assets","","True"
"l10n_fr.1_pcg_444","444000","État - Impôts sur les bénéfices","account.data_account_type_current_liabilities","","True"
"l10n_fr.1_pcg_445201","445201","TVA due intracommunautaire (Taux Normal)","account.data_account_type_current_liabilities","","False"
"l10n_fr.1_pcg_445202","445202","TVA due intracommunautaire (Taux Intermédiaire)","account.data_account_type_current_liabilities","","False"
"l10n_fr.1_pcg_445203","445203","TVA due intracommunautaire (Autre taux)","account.data_account_type_current_liabilities","","False"
"l10n_fr.1_pcg_445204","445204","TVA due imports","account.data_account_type_current_liabilities","","False"
"l10n_fr.1_pcg_44551","445510","TVA à décaisser","account.data_account_type_current_liabilities","","True"
"l10n_fr.1_pcg_44558","445580","Taxes assimilées à la TVA","account.data_account_type_current_liabilities","","True"
"l10n_fr.1_pcg_44562","445620","TVA déductible sur immobilisations","account.data_account_type_current_assets","","False"
"l10n_fr.1_pcg_44563","445630","TVA déductible transférée par d'autres entreprises","account.data_account_type_current_assets","","True"
"l10n_fr.1_pcg_44566","445660","TVA déductible sur autres biens et services","account.data_account_type_current_assets","","False"
"l10n_fr.1_pcg_445662","445662","TVA déductible intracommunautaire","account.data_account_type_current_assets","","False"
"l10n_fr.1_pcg_445663","445663","TVA déductible imports","account.data_account_type_current_assets","","False"
"l10n_fr.1_pcg_44567","445670","Crédit de TVA à reporter","account.data_account_type_current_assets","","True"
"l10n_fr.1_pcg_44568","445680","Taxes déductibles assimilées à la TVA","account.data_account_type_current_assets","","True"
